Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Inventory Value,Stock Status,Daily Demand,Demand Std,Safety Stock,Reorder Point,Reorder Alert,Annual Demand,EOQ,EOQ Category
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,801.0975797775191,Normal,33.2,10.126002459692199,46.732570987385216,478.3325709873852,Reorder Needed,11952,488.9171708991207,High
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,4169.2311591852795,Normal,32.0,10.126002459692199,62.16013030570749,798.1601303057075,Reorder Needed,11520,480.0,High
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,7121.338907536008,Normal,11.2,10.126002459692199,70.99187154593554,406.9918715459355,Reorder Needed,4032,283.9718295887816,Medium
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,1292.831465390398,Normal,8.3,10.126002459692199,36.66004482846727,103.06004482846728,Reorder Needed,2988,244.45858544956036,Medium
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,5355.251746485707,Normal,18.733333333333334,10.126002459692199,69.79864586610157,613.0653125327682,Reorder Needed,6744,367.26012579641696,High
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,332.9032043576422,Low Stock,15.633333333333333,10.126002459692199,36.66004482846727,161.72671149513394,Reorder Needed,5628,335.4996274215517,Medium
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,15.094344219582544,Low Stock,9.333333333333334,10.126002459692199,28.982310195458346,75.64897686212501,Reorder Needed,3360,259.2296279363144,Medium
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,3665.814046615666,Normal,4.2,10.126002459692199,53.440739464416225,124.84073946441623,Reorder Needed,1512,173.89652095427326,Low
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,364.4362777046093,Low Stock,20.666666666666668,10.126002459692199,40.98717614732122,247.65384281398792,Reorder Needed,7440,385.7460304397182,High
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,2453.9457642223074,Normal,6.233333333333333,10.126002459692199,42.98771300481907,111.55437967148573,Reorder Needed,2244,211.84900282984577,Medium
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,2601.2089558790112,Normal,10.666666666666666,10.126002459692199,44.899201888651035,172.89920188865102,Reorder Needed,3840,277.1281292110204,Medium
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,5857.676959961607,Normal,20.033333333333335,10.126002459692199,64.80641574203007,565.6397490753634,Reorder Needed,7212,379.7894153343403,High
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,Unknown,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,1965.2644429416391,Normal,29.466666666666665,10.126002459692199,12.961283148406014,42.42794981507268,Sufficient,10608,460.60829345551304,High
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,Unknown,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,363.24465961258977,Normal,13.033333333333333,10.126002459692199,28.982310195458346,94.14897686212501,Reorder Needed,4692,306.33315197673267,Medium
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,16.625233437244432,Low Stock,6.966666666666667,10.126002459692199,66.0898356949236,247.2231690282569,Reorder Needed,2508,223.9642828667107,Medium
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,3249.6062067775956,Normal,4.733333333333333,10.126002459692199,42.98771300481907,95.05437967148575,Reorder Needed,1704,184.60769214742922,Low
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,5749.369850455676,Normal,11.766666666666667,10.126002459692199,51.84513259362406,240.11179926029075,Reorder Needed,4236,291.0670025956223,Medium
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,Unknown,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,4350.195958182895,Normal,11.733333333333333,10.126002459692199,38.88384944521805,144.48384944521803,Reorder Needed,4224,290.6544339933592,Medium
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,115.06918586866277,Normal,13.133333333333333,10.126002459692199,50.19883377925533,247.19883377925532,Reorder Needed,4728,307.5060975005211,Medium
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,2855.14016333433,Normal,8.433333333333334,10.126002459692199,28.982310195458346,71.14897686212501,Reorder Needed,3036,246.41428530018302,Medium
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,481.3715526315836,Normal,10.9,10.126002459692199,66.0898356949236,349.4898356949236,Reorder Needed,3924,280.14282071829007,Medium
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,305.08435831031215,Low Stock,5.6,10.126002459692199,53.440739464416225,148.6407394644162,Reorder Needed,2016,200.79840636817812,Medium
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,Unknown,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,7049.684305393448,Normal,26.033333333333335,10.126002459692199,46.732570987385216,385.16590432071854,Reorder Needed,9372,432.943414316467,High
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,259.1817400006224,Low Stock,20.533333333333335,10.126002459692199,53.440739464416225,402.5074061310829,Reorder Needed,7392,384.4996749023333,High
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,Unknown,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,37.46759232984246,Low Stock,20.066666666666666,10.126002459692199,66.0898356949236,587.823169028257,Reorder Needed,7224,380.1052485825472,High
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,3568.227046286718,Normal,14.966666666666667,10.126002459692199,67.34880283297656,471.4488028329766,Reorder Needed,5388,328.2681830455093,Medium
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,176.63404641757293,Low Stock,32.1,10.126002459692199,62.16013030570749,800.4601303057076,Reorder Needed,11556,480.7494149762431,High
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,584.9961188153587,Normal,32.1,10.126002459692199,36.66004482846727,293.4600448284673,Reorder Needed,11556,480.7494149762431,High
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,3593.239217106838,Normal,23.5,10.126002459692199,12.961283148406014,36.46128314840601,Sufficient,8460,411.33927602406266,High
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,1491.943226734214,Normal,5.866666666666666,10.126002459692199,69.79864586610157,239.9319791994349,Reorder Needed,2112,205.52372125864207,Medium
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,7248.72817538463,Normal,31.1,10.126002459692199,57.96462039091669,679.9646203909167,Reorder Needed,11196,473.2018596751285,High
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,6343.250663380299,Normal,18.533333333333335,10.126002459692199,56.49692342251852,408.6302567558519,Reorder Needed,6672,365.29440181858797,High
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,1023.641687519369,Normal,5.166666666666667,10.126002459692199,67.34880283297656,206.84880283297656,Reorder Needed,1860,192.8730152198591,Medium
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,422.7577839471326,Normal,19.933333333333334,10.126002459692199,69.79864586610157,647.8653125327683,Reorder Needed,7176,378.8403357616504,High
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,667.6252818704351,Low Stock,30.633333333333333,10.126002459692199,56.49692342251852,638.5302567558518,Reorder Needed,11028,469.63815858594796,High
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,3141.9248370750925,Normal,0.8,10.126002459692199,34.2923318829746,39.8923318829746,Sufficient,288,75.8946638440411,Low
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,2491.5630623897787,Normal,28.633333333333333,10.126002459692199,69.79864586610157,900.1653125327682,Reorder Needed,10308,454.0484555639409,High
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,382.8485435237443,Low Stock,30.333333333333332,10.126002459692199,50.19883377925533,505.1988337792553,Reorder Needed,10920,467.3328578219169,High
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,2281.0663328067517,Normal,0.9666666666666667,10.126002459692199,51.84513259362406,67.31179926029073,Reorder Needed,348,83.42661445845684,Low
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,7653.097580947084,Normal,3.3,10.126002459692199,63.497060250657974,142.69706025065796,Reorder Needed,1188,154.14279094398154,Low
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,440.3080122088937,Normal,21.1,10.126002459692199,62.16013030570749,547.4601303057075,Reorder Needed,7596,389.76916245388117,High
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,2670.076097246173,Normal,5.133333333333334,10.126002459692199,25.92256629681203,46.45589963014537,Sufficient,1848,192.24983745116666,Medium
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,6274.037098013765,Normal,27.333333333333332,10.126002459692199,42.98771300481907,343.6543796714857,Reorder Needed,9840,443.6214602563767,High
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,2912.781188276564,Normal,8.066666666666666,10.126002459692199,64.80641574203007,266.4730824086967,Reorder Needed,2904,240.9979253022731,Medium
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,1027.8260242879483,Normal,20.733333333333334,10.126002459692199,60.79380674681741,516.9271400801507,Reorder Needed,7464,386.367700513384,High
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,7745.940659056574,Normal,23.366666666666667,10.126002459692199,42.98771300481907,300.0210463381524,Reorder Needed,8412,410.170696174166,High
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,524.6596509260844,Normal,3.1,10.126002459692199,62.16013030570749,133.46013030570748,Reorder Needed,1116,149.3987951758648,Low
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,246.3160267536708,Low Stock,7.566666666666666,10.126002459692199,54.9900672427009,191.19006724270088,Reorder Needed,2724,233.40951137432253,Medium
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,598.415613772893,Low Stock,29.866666666666667,10.126002459692199,28.982310195458346,178.3156435287917,Reorder Needed,10752,463.724055878062,High
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,6382.839834771096,Normal,16.133333333333333,10.126002459692199,51.84513259362406,309.97846592695737,Reorder Needed,5808,340.8225344662527,High
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,698.1491447277368,Normal,12.666666666666666,10.126002459692199,67.34880283297656,409.34880283297656,Reorder Needed,4560,301.99337741082996,Medium
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,1664.9199969054375,Normal,3.9,10.126002459692199,62.16013030570749,151.8601303057075,Reorder Needed,1404,167.5708805252273,Low
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,6260.4864401805135,Normal,9.0,10.126002459692199,18.330022414233635,36.33002241423364,Sufficient,3240,254.55844122715712,Medium
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,702.9383464055443,Normal,8.2,10.126002459692199,56.49692342251852,212.2969234225185,Reorder Needed,2952,242.98148077579904,Medium
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,6543.288979393878,Normal,4.466666666666667,10.126002459692199,67.34880283297656,187.94880283297658,Reorder Needed,1608,179.33209417167916,Low
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,1920.7698807786583,Normal,15.233333333333333,10.126002459692199,63.497060250657974,429.09706025065793,Reorder Needed,5484,331.17970952339454,Medium
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,338.4533070615072,Low Stock,23.466666666666665,10.126002459692199,53.440739464416225,452.3740727977495,Reorder Needed,8448,411.04744251728414,High
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,1053.0651882480129,Low Stock,17.1,10.126002459692199,38.88384944521805,192.78384944521804,Reorder Needed,6156,350.8845964131227,High
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,0.0,Low Stock,5.433333333333334,10.126002459692199,36.66004482846727,80.12671149513395,Reorder Needed,1956,197.78776504121785,Medium
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,5212.2252091216305,Normal,17.033333333333335,10.126002459692199,12.961283148406014,29.99461648173935,Sufficient,6132,350.1999428897726,High
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,479.1454182405877,Low Stock,1.0666666666666667,10.126002459692199,44.899201888651035,57.69920188865103,Reorder Needed,384,87.63560920082658,Low
cosmetics,SKU71,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,484.99652036884544,Normal,21.233333333333334,10.126002459692199,18.330022414233635,60.79668908090031,Sufficient,7644,390.99872122553035,High
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,5141.652368670101,Normal,15.933333333333334,10.126002459692199,69.79864586610157,531.8653125327683,Reorder Needed,5736,338.70341008026475,Medium
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,1425.4673005821783,Low Stock,12.5,10.126002459692199,64.80641574203007,377.3064157420301,Reorder Needed,4500,300.0,Medium
haircare,SKU74,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,129.97046795621236,Normal,30.133333333333333,10.126002459692199,31.748530125328987,212.548530125329,Reorder Needed,10848,465.7896520963084,High
skincare,SKU75,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,1487.9501477435306,Low Stock,3.533333333333333,10.126002459692199,57.96462039091669,128.63128705758334,Reorder Needed,1272,159.49921629901507,Low
haircare,SKU76,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,2626.1343828023523,Normal,8.033333333333333,10.126002459692199,12.961283148406014,20.99461648173935,Sufficient,2892,240.49948024891862,Medium
